ts_utc,datetime_utc,currency,impact,event
1704183300,2024-01-02 08:15,EUR,medium,HCOB Manufacturing PMI
1704185100,2024-01-02 08:45,EUR,medium,HCOB Manufacturing PMI
1704185700,2024-01-02 08:55,EUR,medium,HCOB Manufacturing PMI
1704205800,2024-01-02 14:30,CAD,medium,S&P Global Manufacturing PMI
1704272100,2024-01-03 08:55,EUR,medium,Unemployment Change
1704272100,2024-01-03 08:55,EUR,medium,Unemployment Rate s.a.
1704294000,2024-01-03 15:00,USD,medium,ISM Manufacturing Employment Index
1704294000,2024-01-03 15:00,USD,medium,ISM Manufacturing New Orders Index
1704294000,2024-01-03 15:00,USD,high,ISM Manufacturing PMI
1704294000,2024-01-03 15:00,USD,medium,ISM Manufacturing Prices Paid
1704294000,2024-01-03 15:00,USD,medium,JOLTS Job Openings
1704308400,2024-01-03 19:00,USD,high,FOMC Minutes
1704319200,2024-01-03 22:00,AUD,medium,S&P Global Composite PMI
1704319200,2024-01-03 22:00,AUD,medium,S&P Global Services PMI
1704354300,2024-01-04 07:45,EUR,medium,Consumer Price Index (EU norm) (YoY)
1704356100,2024-01-04 08:15,EUR,medium,HCOB Services PMI
1704358500,2024-01-04 08:55,EUR,medium,HCOB Composite PMI
1704358500,2024-01-04 08:55,EUR,medium,HCOB Services PMI
1704358800,2024-01-04 09:00,EUR,medium,HCOB Composite PMI
1704361800,2024-01-04 09:50,EUR,medium,30-y Bond Auction
1704371400,2024-01-04 12:30,USD,medium,Challenger Job Cuts
1704373200,2024-01-04 13:00,EUR,high,Consumer Price Index (MoM)
1704373200,2024-01-04 13:00,EUR,high,Consumer Price Index (YoY)
1704373200,2024-01-04 13:00,EUR,medium,Harmonized Index of Consumer Prices (MoM)
1704373200,2024-01-04 13:00,EUR,high,Harmonized Index of Consumer Prices (YoY)
1704374100,2024-01-04 13:15,USD,high,ADP Employment Change
1704375000,2024-01-04 13:30,USD,medium,Initial Jobless Claims
1704379500,2024-01-04 14:45,USD,medium,S&P Global Composite PMI
1704438000,2024-01-05 07:00,EUR,medium,Retail Sales (MoM)
1704438000,2024-01-05 07:00,EUR,high,Retail Sales (YoY)
1704448800,2024-01-05 10:00,EUR,high,Core Harmonized Index of Consumer Prices (MoM)
1704448800,2024-01-05 10:00,EUR,high,Core Harmonized Index of Consumer Prices (YoY)
1704448800,2024-01-05 10:00,EUR,high,Harmonized Index of Consumer Prices (MoM)
1704448800,2024-01-05 10:00,EUR,high,Harmonized Index of Consumer Prices (YoY)
1704448800,2024-01-05 10:00,EUR,medium,Producer Price Index (MoM)
1704448800,2024-01-05 10:00,EUR,medium,Producer Price Index (YoY)
1704448800,2024-01-05 10:00,EUR,medium,Consumer Price Index (EU Norm) (YoY)
1704448800,2024-01-05 10:00,EUR,medium,Consumer Price Index (YoY)
1704461400,2024-01-05 13:30,CAD,medium,Average Hourly Wages (YoY)
1704461400,2024-01-05 13:30,CAD,high,Net Change in Employment
1704461400,2024-01-05 13:30,CAD,high,Unemployment Rate
1704461400,2024-01-05 13:30,USD,high,Average Hourly Earnings (MoM)
1704461400,2024-01-05 13:30,USD,high,Average Hourly Earnings (YoY)
1704461400,2024-01-05 13:30,USD,medium,Labor Force Participation Rate
1704461400,2024-01-05 13:30,USD,high,Nonfarm Payrolls
1704461400,2024-01-05 13:30,USD,medium,U6 Underemployment Rate
1704461400,2024-01-05 13:30,USD,medium,Unemployment Rate
1704466800,2024-01-05 15:00,CAD,medium,Ivey Purchasing Managers Index
1704466800,2024-01-05 15:00,CAD,medium,Ivey Purchasing Managers Index s.a
1704466800,2024-01-05 15:00,USD,medium,Factory Orders (MoM)
1704466800,2024-01-05 15:00,USD,medium,ISM Services Employment Index
1704466800,2024-01-05 15:00,USD,medium,ISM Services New Orders Index
1704466800,2024-01-05 15:00,USD,high,ISM Services PMI
1704466800,2024-01-05 15:00,USD,medium,ISM Services Prices Paid
